hash;plik;dlugosc;tier;obszar;rules;fullContext;EN
204D11389B6DBD81A4A9A331AF802265;InnerRangeTranslations_1.xml;125;3;automatyka/sterowanie;;;This trigger condition will be true as long as the chosen input has been isolated, and will only turn false when de-isolated.
A15288215CB9B3079B199CDED2702111;InnerRangeTranslations_1.xml;25;1;zdarzenia/raporty;;;Received Message (Pulsed)
9DA8BDEC2DEE0AA2EAC4CAD2886A2570;InnerRangeTranslations_1.xml;134;3;automatyka/sterowanie;;;This trigger condition will pulse whenever a received message from the connection matches the defined message value of this condition.
FF8128C6867A6BC4F2996DA0CBA456B1;InnerRangeTranslations_1.xml;227;3;automatyka/sterowanie;;;This trigger condition is true while the selected connection is enabled and is able to use the configured details to retain a connection. Note that other states such as Connecting or Disabled are not considered to be Connected.
EF70E46FD3BBC21E3E1F0B6815E750C0;InnerRangeTranslations_1.xml;12;1;system/ogolne;;EF70E46FD3BBC21E3E1F0B6815E750C0;Disconnected
A496EE79C0E0258406C1C0BF37B3A18F;InnerRangeTranslations_1.xml;186;3;automatyka/sterowanie;;;This trigger condition is true while the selected connection has been enabled but is Disconnected, has failed to connect with the given configuration, or is in the process of connecting.
6134206E88502E4EEDEB5C5BC58D6B7D;InnerRangeTranslations_1.xml;44;2;dostep/przejscia;;;Detecting Reader Action by Any User (Pulsed)
9A14A80E698E84B9527A8A3C620B26BA;InnerRangeTranslations_1.xml;111;3;dostep/przejscia;;;This trigger condition will pulse whenever any user performs the selected Reader Action at the selected reader.
53C0D5D7A6F92C96D1A0129317D5DE67;InnerRangeTranslations_1.xml;49;2;dostep/przejscia;;;Detecting Reader Action by Specific User (Pulsed)
C50C2F8E7CF5F08F3DEFFCBB853D145F;InnerRangeTranslations_1.xml;118;3;dostep/przejscia;;;This trigger condition will pulse whenever the selected User performs the selected Reader Action at the chosen reader.
A3961ED10E0FC0634D8D14AA73D762F3;InnerRangeTranslations_1.xml;62;2;dostep/przejscia;;;Detecting Reader Action by User with Permission Group (Pulsed)
33CDBC6248F6AC842732862E179E36FB;InnerRangeTranslations_1.xml;344;3;dostep/przejscia;;;This trigger condition will pulse whenever any user with the given Permission Group performs the selected Reader Action at the selected reader. This trigger allows more generic conditions to be defined, such as triggering if any Manager badges. It also allows the condition to remain up to date as users are added to or removed from the system.
4C3C6CF32B1644661BFC4A9B2AD287D9;InnerRangeTranslations_1.xml;39;1;dostep/przejscia;;;Detecting Invalid/Unknown Card (Pulsed)
B94A8806F6FA5070F566A8BC4A615EFD;InnerRangeTranslations_1.xml;111;3;dostep/przejscia;;;This trigger condition will pulse whenever an invalid or unknown card has been detected at the selected reader.
70560AF049F3CB2E06B8E468F72712EC;InnerRangeTranslations_1.xml;30;1;uzytkownicy/uprawnienia;;;Detecting Invalid PIN (Pulsed)
D1831234275D122FEFEBD5B812325B69;InnerRangeTranslations_1.xml;98;3;dostep/przejscia;;;This trigger condition will pulse whenever an invalid PIN has been entered at the selected reader.
8D9DA4BC0E49A50E09AC9F7E56789D39;InnerRangeTranslations_1.xml;7;1;system/ogolne;unique=ModuleHealthStates;;Offline
FF44BB9BF9E61E4920668BFE22BE78FD;InnerRangeTranslations_1.xml;130;3;automatyka/sterowanie;;;This trigger condition will be true while the selected Hardware Module is offline. This condition applies to any expansion module.
8DBD46F61B069F1C25DDB61AB84A23B4;InnerRangeTranslations_1.xml;24;1;uzbrajanie/strefy;;;Detecting Cabinet Tamper
BEDB3C24C05A2B199BBDD08999B94789;InnerRangeTranslations_1.xml;248;3;uzbrajanie/strefy;;;This trigger condition will be true when the selected Hardware Module has detected cabinet tampering, remaining true while the issue persists. This condition can apply to the Controller or any expansion module with a dedicated Cabinet Tamper input.
AAFFB4E67185A4585C6CB942FB3BD118;InnerRangeTranslations_1.xml;31;1;uzbrajanie/strefy;;;Detecting Internal Siren Tamper
2D37AD1C2DC092199000E287D3A1DC04;InnerRangeTranslations_1.xml;234;3;uzbrajanie/strefy;;;This trigger condition will be true when the selected Hardware Module has detected internal siren tampering, remaining true while the issue persists. This condition can apply to expansion modules with dedicated Internal Siren drivers.
CD9496790F429A8DBFEEB266589C1F1E;InnerRangeTranslations_1.xml;31;1;uzbrajanie/strefy;;;Detecting External Siren Tamper
5A8575D19920D209EA3FA4AF5939DD94;InnerRangeTranslations_1.xml;234;3;uzbrajanie/strefy;;;This trigger condition will be true when the selected Hardware Module has detected external siren tampering, remaining true while the issue persists. This condition can apply to expansion modules with dedicated External Siren drivers.
1AEF5EEB30DB89E8E4831210C7710808;InnerRangeTranslations_1.xml;16;1;system/ogolne;;;Missing AC Power
45A8168E29B60AC9F1F15FE26AD53DC0;InnerRangeTranslations_1.xml;262;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected that the AC Power is missing, remaining true while the issue persists. This condition can apply to the Controller or any expansion modules that is monitoring a Smart Power Supply.
1DE643BED618DFEE617EAF17DC979A1C;InnerRangeTranslations_1.xml;21;1;system/ogolne;;;Detecting Low Battery
714FE57A4F760BCB7E435EBBC9C717CC;InnerRangeTranslations_1.xml;247;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected a low battery, remaining true while the issue persists. This condition can apply to the Controller or any expansion modules that is monitoring a Smart Power Supply.
32D794554563138DFC243F7DA3F44875;InnerRangeTranslations_1.xml;17;1;system/ogolne;;;Missing a Battery
CB2DDA6B5E54199A70FA193FBB209B0D;InnerRangeTranslations_1.xml;251;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected a missing battery, remaining true while the issue persists. This condition can apply to the Controller or any expansion modules that is monitoring a Smart Power Supply.
2A0AC55BEE06A8D06CB1D3B1B9F22A4F;InnerRangeTranslations_1.xml;24;1;system/ogolne;;;Detecting a Shorted Wire
B4E804FE470715B07B550C475281F10F;InnerRangeTranslations_1.xml;278;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected a shorted wire across power output terminals, remaining true while the issue persists. This condition can apply to the Controller or any expansion modules that is monitoring a Smart Power Supply.
DB923E9234724D3B68E5D55375DAB895;InnerRangeTranslations_1.xml;31;1;system/ogolne;;;Detecting a Failed Power Supply
F5E8B02D77E5CDFEECB88C9CDF0EDEC8;InnerRangeTranslations_1.xml;237;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected a failed power supply, remaining true while the issue persists. This condition can apply to any expansion modules that is monitoring a Smart Power Supply.
F43DA3569990C639F167CB46B5287EAF;InnerRangeTranslations_1.xml;21;1;system/ogolne;;;Failed a Battery Test
FCCB5EECE9CCD028CF84D667C6B1157A;InnerRangeTranslations_1.xml;306;3;automatyka/sterowanie;;;This trigger condition will be true when the latest battery test on the selected Hardware Module has failed, remaining true until another successful battery test (automatic or manual) is completed. This condition can apply to the Controller or any expansion modules that is monitoring a Smart Power Supply.
C098CBAC050E7DF3ABDC4DC88F46E4DD;InnerRangeTranslations_1.xml;29;1;komunikacja/sprzet;;;Detecting Module Substitution
D23871FDF782455E2B5D94C11D83F0AE;InnerRangeTranslations_1.xml;239;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected that module substitution has occurred, remaining true while a module substitution is still being detected. This condition can apply to any expansion module.
2F2510725A08D20D0FCFD21C20BD7178;InnerRangeTranslations_1.xml;37;1;uzytkownicy/uprawnienia;;;Detected Failed PIN Attempts (Pulsed)
E20EAB54DB4AFBC45B2E33D5DA1F3382;InnerRangeTranslations_1.xml;162;3;automatyka/sterowanie;;;This trigger condition will pulse when a failed PIN attempt has been detected by the hardware module. This condition can apply only to Terminal expansion modules.
79472A093E040668EFE9FB368E5D452A;InnerRangeTranslations_1.xml;29;1;uzytkownicy/uprawnienia;;;Detected User Duress (Pulsed)
1D8A1A04C67DA89B7418BBD314977FDF;InnerRangeTranslations_1.xml;334;3;dostep/przejscia;;;This trigger condition will pulse when user duress has been detected by the hardware module. This condition can apply to Terminal expansion modules or SLAMs with keypad readers attached. The event is raised if the Duress User PIN is entered at a keypad reader or a terminal, or if [HELP] [HELP] [HELP] is pressed at a Terminal module.
3E200C3CB28BCA894B2249735F03FE33;InnerRangeTranslations_1.xml;25;1;system/ogolne;;;Detecting RF Interference
824B49E353C12105D8270F62F3B91492;InnerRangeTranslations_1.xml;212;3;automatyka/sterowanie;;;This trigger condition will be true when the selected Hardware Module has detected RF interference or jamming, remaining true while the issue persists. This condition can apply only to RF Input expansion modules.
